Epoch: [0]	Time 1.337	Data 0.077	Loss 4.0859	Prec@1 21.369	Prec@5 41.479
Epoch: [1]	Time 1.335	Data 0.080	Loss 2.7757	Prec@1 39.936	Prec@5 65.003
Epoch: [2]	Time 1.335	Data 0.080	Loss 2.4469	Prec@1 45.654	Prec@5 70.516
Epoch: [3]	Time 1.332	Data 0.080	Loss 2.2725	Prec@1 48.858	Prec@5 73.335
Epoch: [4]	Time 1.332	Data 0.080	Loss 2.1562	Prec@1 50.982	Prec@5 75.230
Epoch: [5]	Time 1.335	Data 0.082	Loss 2.0740	Prec@1 52.504	Prec@5 76.544
Epoch: [6]	Time 1.332	Data 0.081	Loss 2.0078	Prec@1 53.759	Prec@5 77.558
Epoch: [7]	Time 1.330	Data 0.080	Loss 1.9578	Prec@1 54.673	Prec@5 78.321
Epoch: [8]	Time 1.330	Data 0.081	Loss 1.9148	Prec@1 55.452	Prec@5 78.963
Epoch: [9]	Time 1.332	Data 0.083	Loss 1.8761	Prec@1 56.181	Prec@5 79.582
Epoch: [10]	Time 1.329	Data 0.080	Loss 1.8446	Prec@1 56.779	Prec@5 80.048
Epoch: [11]	Time 1.326	Data 0.080	Loss 1.8169	Prec@1 57.300	Prec@5 80.440
Epoch: [12]	Time 1.330	Data 0.082	Loss 1.7933	Prec@1 57.748	Prec@5 80.832
Epoch: [13]	Time 1.326	Data 0.080	Loss 1.7718	Prec@1 58.143	Prec@5 81.182
Epoch: [14]	Time 1.331	Data 0.081	Loss 1.7521	Prec@1 58.482	Prec@5 81.464
Epoch: [15]	Time 1.326	Data 0.080	Loss 1.7333	Prec@1 58.869	Prec@5 81.737
Epoch: [16]	Time 1.327	Data 0.081	Loss 1.7162	Prec@1 59.166	Prec@5 82.009
Epoch: [17]	Time 1.325	Data 0.080	Loss 1.7006	Prec@1 59.523	Prec@5 82.235
Epoch: [18]	Time 1.326	Data 0.081	Loss 1.6879	Prec@1 59.753	Prec@5 82.417
Epoch: [19]	Time 1.328	Data 0.081	Loss 1.6742	Prec@1 60.003	Prec@5 82.618
Epoch: [20]	Time 1.328	Data 0.081	Loss 1.6612	Prec@1 60.218	Prec@5 82.823
Epoch: [21]	Time 1.327	Data 0.081	Loss 1.6504	Prec@1 60.422	Prec@5 82.949
Epoch: [22]	Time 1.327	Data 0.081	Loss 1.6391	Prec@1 60.646	Prec@5 83.142
Epoch: [23]	Time 1.327	Data 0.081	Loss 1.6289	Prec@1 60.885	Prec@5 83.271
Epoch: [24]	Time 1.328	Data 0.081	Loss 1.6243	Prec@1 60.943	Prec@5 83.359
Epoch: [25]	Time 1.327	Data 0.081	Loss 1.6164	Prec@1 61.104	Prec@5 83.478
Epoch: [26]	Time 1.329	Data 0.082	Loss 1.6049	Prec@1 61.322	Prec@5 83.646
Epoch: [27]	Time 1.328	Data 0.082	Loss 1.5966	Prec@1 61.490	Prec@5 83.759
Epoch: [28]	Time 1.328	Data 0.082	Loss 1.5882	Prec@1 61.629	Prec@5 83.901
Epoch: [29]	Time 1.324	Data 0.080	Loss 1.5821	Prec@1 61.802	Prec@5 83.968
Epoch: [30]	Time 1.331	Data 0.083	Loss 1.5764	Prec@1 61.872	Prec@5 84.066
Epoch: [31]	Time 1.328	Data 0.081	Loss 1.5679	Prec@1 61.986	Prec@5 84.186
Epoch: [32]	Time 1.328	Data 0.082	Loss 1.5601	Prec@1 62.168	Prec@5 84.285
Epoch: [33]	Time 1.327	Data 0.081	Loss 1.5543	Prec@1 62.242	Prec@5 84.383
Epoch: [34]	Time 1.326	Data 0.080	Loss 1.5490	Prec@1 62.371	Prec@5 84.480
Epoch: [35]	Time 1.326	Data 0.080	Loss 1.5428	Prec@1 62.518	Prec@5 84.556
Epoch: [36]	Time 1.326	Data 0.081	Loss 1.5368	Prec@1 62.599	Prec@5 84.676
Epoch: [37]	Time 1.328	Data 0.082	Loss 1.5331	Prec@1 62.689	Prec@5 84.677
Epoch: [38]	Time 1.325	Data 0.080	Loss 1.5292	Prec@1 62.771	Prec@5 84.807
Epoch: [39]	Time 1.324	Data 0.080	Loss 1.5230	Prec@1 62.862	Prec@5 84.871
Epoch: [40]	Time 1.327	Data 0.081	Loss 1.3300	Prec@1 67.124	Prec@5 87.460
Epoch: [41]	Time 1.329	Data 0.082	Loss 1.2813	Prec@1 68.208	Prec@5 88.109
Epoch: [42]	Time 1.325	Data 0.080	Loss 1.2639	Prec@1 68.625	Prec@5 88.316
Epoch: [43]	Time 1.332	Data 0.083	Loss 1.2495	Prec@1 68.924	Prec@5 88.486
Epoch: [44]	Time 1.327	Data 0.081	Loss 1.2415	Prec@1 69.067	Prec@5 88.616
Epoch: [45]	Time 1.327	Data 0.081	Loss 1.2334	Prec@1 69.226	Prec@5 88.727
Epoch: [46]	Time 1.326	Data 0.081	Loss 1.2267	Prec@1 69.391	Prec@5 88.791
Epoch: [47]	Time 1.325	Data 0.080	Loss 1.2231	Prec@1 69.460	Prec@5 88.813
Epoch: [48]	Time 1.330	Data 0.082	Loss 1.2171	Prec@1 69.516	Prec@5 88.897
Epoch: [49]	Time 1.328	Data 0.082	Loss 1.2135	Prec@1 69.600	Prec@5 88.957
Epoch: [50]	Time 1.327	Data 0.081	Loss 1.1755	Prec@1 70.444	Prec@5 89.448
Epoch: [51]	Time 1.327	Data 0.081	Loss 1.1691	Prec@1 70.636	Prec@5 89.543
Epoch: [52]	Time 1.327	Data 0.081	Loss 1.1670	Prec@1 70.683	Prec@5 89.545
Epoch: [53]	Time 1.326	Data 0.080	Loss 1.1657	Prec@1 70.679	Prec@5 89.584
Epoch: [54]	Time 1.325	Data 0.081	Loss 1.1649	Prec@1 70.723	Prec@5 89.582
Epoch: [55]	Time 1.325	Data 0.080	Loss 1.1631	Prec@1 70.747	Prec@5 89.614
Epoch: [56]	Time 1.324	Data 0.080	Loss 1.1620	Prec@1 70.798	Prec@5 89.635
Epoch: [57]	Time 1.325	Data 0.080	Loss 1.1601	Prec@1 70.829	Prec@5 89.655
Epoch: [58]	Time 1.326	Data 0.081	Loss 1.1585	Prec@1 70.859	Prec@5 89.653
Epoch: [59]	Time 1.327	Data 0.080	Loss 1.1603	Prec@1 70.848	Prec@5 89.638
Epoch: [60]	Time 1.329	Data 0.082	Loss 1.1581	Prec@1 70.854	Prec@5 89.666
Epoch: [61]	Time 1.326	Data 0.081	Loss 1.1579	Prec@1 70.840	Prec@5 89.681
Epoch: [62]	Time 1.325	Data 0.080	Loss 1.1572	Prec@1 70.875	Prec@5 89.667
Epoch: [63]	Time 1.325	Data 0.080	Loss 1.1557	Prec@1 70.885	Prec@5 89.752
Epoch: [64]	Time 1.326	Data 0.080	Loss 1.1561	Prec@1 70.938	Prec@5 89.681
Epoch: [65]	Time 1.330	Data 0.082	Loss 1.1464	Prec@1 71.141	Prec@5 89.817
Epoch: [66]	Time 1.328	Data 0.082	Loss 1.1442	Prec@1 71.195	Prec@5 89.856
Epoch: [67]	Time 1.326	Data 0.081	Loss 1.1437	Prec@1 71.146	Prec@5 89.870
Epoch: [68]	Time 1.329	Data 0.082	Loss 1.1444	Prec@1 71.173	Prec@5 89.847
Epoch: [69]	Time 1.324	Data 0.080	Loss 1.1439	Prec@1 71.186	Prec@5 89.855
Epoch: [70]	Time 1.330	Data 0.082	Loss 1.1435	Prec@1 71.185	Prec@5 89.859
Epoch: [71]	Time 1.330	Data 0.083	Loss 1.1442	Prec@1 71.161	Prec@5 89.842
Epoch: [72]	Time 1.328	Data 0.082	Loss 1.1451	Prec@1 71.168	Prec@5 89.844
Epoch: [73]	Time 1.328	Data 0.081	Loss 1.1439	Prec@1 71.182	Prec@5 89.851
Epoch: [74]	Time 1.326	Data 0.081	Loss 1.1437	Prec@1 71.197	Prec@5 89.856
Epoch: [75]	Time 1.327	Data 0.081	Loss 1.1440	Prec@1 71.129	Prec@5 89.824
Epoch: [76]	Time 1.328	Data 0.082	Loss 1.1431	Prec@1 71.208	Prec@5 89.864
Epoch: [77]	Time 1.325	Data 0.080	Loss 1.1436	Prec@1 71.154	Prec@5 89.862
Epoch: [78]	Time 1.328	Data 0.081	Loss 1.1427	Prec@1 71.190	Prec@5 89.856
Epoch: [79]	Time 1.327	Data 0.081	Loss 1.1429	Prec@1 71.209	Prec@5 89.887
Epoch: [80]	Time 1.329	Data 0.082	Loss 1.1405	Prec@1 71.245	Prec@5 89.920
Epoch: [81]	Time 1.327	Data 0.081	Loss 1.1390	Prec@1 71.339	Prec@5 89.913
Epoch: [82]	Time 1.327	Data 0.081	Loss 1.1395	Prec@1 71.288	Prec@5 89.911
Epoch: [83]	Time 1.325	Data 0.081	Loss 1.1401	Prec@1 71.257	Prec@5 89.909
Epoch: [84]	Time 1.330	Data 0.082	Loss 1.1396	Prec@1 71.261	Prec@5 89.905
Epoch: [85]	Time 1.328	Data 0.081	Loss 1.1404	Prec@1 71.266	Prec@5 89.932
Epoch: [86]	Time 1.322	Data 0.079	Loss 1.1404	Prec@1 71.255	Prec@5 89.904
